name,link_id,link_key,speed_sensor_id,count_sensor_id,from_node_id,to_node_id,link_type_name,direction,length,number_of_lanes,speed_limit,lane_cap,link_type,jam_density,wave_speed,demand_type_code,mode_code,geometry,original_geometry,map_matching_orientation_code,map_matching_loop_code,
nan,1,1,1,1,327,301,Freeway,1,0.00607,0,10.0000,1800.0000,1,180.0,12.0,"","","<LineString><coordinates>116.474455,39.799116,0.0 116.474504,39.799076,0.0</coordinates></LineString>","<LineString><coordinates>116.474455,39.799116,0.0 116.474504,39.799076,0.0</coordinates></LineString>",,,
天华北街,2,1,1,1,303,304,Freeway,1,0.00632,0,10.0000,1800.0000,1,180.0,12.0,"","","<LineString><coordinates>116.492070,39.799310,0.0 116.492133,39.799340,0.0</coordinates></LineString>","<LineString><coordinates>116.492070,39.799310,0.0 116.492133,39.799340,0.0</coordinates></LineString>",,,
天华北街,3,1,1,1,304,303,Freeway,1,0.00632,0,10.0000,1800.0000,1,180.0,12.0,"","","<LineString><coordinates>116.492133,39.799340,0.0 116.492070,39.799310,0.0</coordinates></LineString>","<LineString><coordinates>116.492133,39.799340,0.0 116.492070,39.799310,0.0</coordinates></LineString>",,,
天华北街,4,1,1,1,304,303,Freeway,1,0.00632,0,10.0000,1800.0000,1,180.0,12.0,"","","<LineString><coordinates>116.492133,39.799340,0.0 116.492070,39.799310,0.0</coordinates></LineString>","<LineString><coordinates>116.492133,39.799340,0.0 116.492070,39.799310,0.0</coordinates></LineString>",,,
天华北街,5,1,1,1,303,304,Freeway,1,0.00632,0,10.0000,1800.0000,1,180.0,12.0,"","","<LineString><coordinates>116.492070,39.799310,0.0 116.492133,39.799340,0.0</coordinates></LineString>","<LineString><coordinates>116.492070,39.799310,0.0 116.492133,39.799340,0.0</coordinates></LineString>",,,
nan,6,1,1,1,276,277,Freeway,1,0.00642,0,10.0000,1800.0000,1,180.0,12.0,"","","<LineString><coordinates>116.518417,39.785877,0.0 116.518377,39.785926,0.0</coordinates></LineString>","<LineString><coordinates>116.518417,39.785877,0.0 116.518377,39.785926,0.0</coordinates></LineString>",,,
永昌中路,7,1,1,1,275,274,Freeway,1,0.00655,0,10.0000,1800.0000,1,180.0,12.0,"","","<LineString><coordinates>116.518240,39.785855,0.0 116.518286,39.785808,0.0</coordinates></LineString>","<LineString><coordinates>116.518240,39.785855,0.0 116.518286,39.785808,0.0</coordinates></LineString>",,,
nan,8,1,1,1,600,599,Freeway,1,0.00659,0,10.0000,1800.0000,1,180.0,12.0,"","","<LineString><coordinates>116.495885,39.801188,0.0 116.495925,39.801138,0.0</coordinates></LineString>","<LineString><coordinates>116.495885,39.801188,0.0 116.495925,39.801138,0.0</coordinates></LineString>",,,
荣华中路,9,1,1,1,313,312,Freeway,1,0.00664,0,10.0000,1800.0000,1,180.0,12.0,"","","<LineString><coordinates>116.496033,39.801260,0.0 116.496075,39.801209,0.0</coordinates></LineString>","<LineString><coordinates>116.496033,39.801260,0.0 116.496075,39.801209,0.0</coordinates></LineString>",,,
荣昌东街,10,1,1,1,267,266,Freeway,1,0.00667,0,10.0000,1800.0000,1,180.0,12.0,"","","<LineString><coordinates>116.516823,39.781050,0.0 116.516757,39.781018,0.0</coordinates></LineString>","<LineString><coordinates>116.516823,39.781050,0.0 116.516757,39.781018,0.0</coordinates></LineString>",,,
宏达中路,11,1,1,1,270,271,Freeway,1,0.00670,0,10.0000,1800.0000,1,180.0,12.0,"","","<LineString><coordinates>116.514444,39.783944,0.0 116.514404,39.783996,0.0</coordinates></LineString>","<LineString><coordinates>116.514444,39.783944,0.0 116.514404,39.783996,0.0</coordinates></LineString>",,,
宏达中路,12,1,1,1,271,270,Freeway,1,0.00670,0,10.0000,1800.0000,1,180.0,12.0,"","","<LineString><coordinates>116.514404,39.783996,0.0 116.514444,39.783944,0.0</coordinates></LineString>","<LineString><coordinates>116.514404,39.783996,0.0 116.514444,39.783944,0.0</coordinates></LineString>",,,
宏达中路,13,1,1,1,271,270,Freeway,1,0.00670,0,10.0000,1800.0000,1,180.0,12.0,"","","<LineString><coordinates>116.514404,39.783996,0.0 116.514444,39.783944,0.0</coordinates></LineString>","<LineString><coordinates>116.514404,39.783996,0.0 116.514444,39.783944,0.0</coordinates></LineString>",,,
宏达中路,14,1,1,1,270,271,Freeway,1,0.00670,0,10.0000,1800.0000,1,180.0,12.0,"","","<LineString><coordinates>116.514444,39.783944,0.0 116.514404,39.783996,0.0</coordinates></LineString>","<LineString><coordinates>116.514444,39.783944,0.0 116.514404,39.783996,0.0</coordinates></LineString>",,,
nan,15,1,1,1,314,315,Freeway,1,0.00670,0,10.0000,1800.0000,1,180.0,12.0,"","","<LineString><coordinates>116.496266,39.801302,0.0 116.496224,39.801353,0.0</coordinates></LineString>","<LineString><coordinates>116.496266,39.801302,0.0 116.496224,39.801353,0.0</coordinates></LineString>",,,
nan,16,1,1,1,135,136,Freeway,1,0.00675,0,10.0000,1800.0000,1,180.0,12.0,"","","<LineString><coordinates>116.496408,39.801370,0.0 116.496369,39.801423,0.0</coordinates></LineString>","<LineString><coordinates>116.496408,39.801370,0.0 116.496369,39.801423,0.0</coordinates></LineString>",,,
荣京东街,17,1,1,1,290,292,Freeway,1,0.00677,0,10.0000,1800.0000,1,180.0,12.0,"","","<LineString><coordinates>116.506963,39.793176,0.0 116.506895,39.793143,0.0</coordinates></LineString>","<LineString><coordinates>116.506963,39.793176,0.0 116.506895,39.793143,0.0</coordinates></LineString>",,,
荣京东街,18,1,1,1,289,291,Freeway,1,0.00678,0,10.0000,1800.0000,1,180.0,12.0,"","","<LineString><coordinates>116.506964,39.793059,0.0 116.507031,39.793091,0.0</coordinates></LineString>","<LineString><coordinates>116.506964,39.793059,0.0 116.507031,39.793091,0.0</coordinates></LineString>",,,
同济南路,19,1,1,1,474,573,Freeway,1,0.00730,0,10.0000,1800.0000,1,180.0,12.0,"","","<LineString><coordinates>116.541774,39.766580,0.0 116.541832,39.766531,0.0</coordinates></LineString>","<LineString><coordinates>116.541774,39.766580,0.0 116.541832,39.766531,0.0</coordinates></LineString>",,,
同济南路,20,1,1,1,573,474,Freeway,1,0.00730,0,10.0000,1800.0000,1,180.0,12.0,"","","<LineString><coordinates>116.541832,39.766531,0.0 116.541774,39.766580,0.0</coordinates></LineString>","<LineString><coordinates>116.541832,39.766531,0.0 116.541774,39.766580,0.0</coordinates></LineString>",,,
同济南路,21,1,1,1,573,474,Freeway,1,0.00730,0,10.0000,1800.0000,1,180.0,12.0,"","","<LineString><coordinates>116.541832,39.766531,0.0 116.541774,39.766580,0.0</coordinates></LineString>","<LineString><coordinates>116.541832,39.766531,0.0 116.541774,39.766580,0.0</coordinates></LineString>",,,
同济南路,22,1,1,1,474,573,Freeway,1,0.00730,0,10.0000,1800.0000,1,180.0,12.0,"","","<LineString><coordinates>116.541774,39.766580,0.0 116.541832,39.766531,0.0</coordinates></LineString>","<LineString><coordinates>116.541774,39.766580,0.0 116.541832,39.766531,0.0</coordinates></LineString>",,,
nan,23,1,1,1,93,288,Freeway,1,0.00741,0,10.0000,1800.0000,1,180.0,12.0,"","","<LineString><coordinates>116.478493,39.792740,0.0 116.478415,39.792710,0.0</coordinates></LineString>","<LineString><coordinates>116.478493,39.792740,0.0 116.478415,39.792710,0.0</coordinates></LineString>",,,
