name,node_id,zone_id,control_type,control_type_name,cycle_length_in_second,x,y,geometry
,1,0,0,unknown_control,0,116.514547,39.779949,"<Point><coordinates>116.514547,39.779949</coordinates></Point>"
,2,0,0,unknown_control,0,116.524687,39.814472,"<Point><coordinates>116.524687,39.814472</coordinates></Point>"
,3,0,0,unknown_control,0,116.523434,39.812995,"<Point><coordinates>116.523434,39.812995</coordinates></Point>"
,4,0,0,unknown_control,0,116.557385,39.783420,"<Point><coordinates>116.557385,39.783420</coordinates></Point>"
,5,0,0,unknown_control,0,116.557636,39.783553,"<Point><coordinates>116.557636,39.783553</coordinates></Point>"
,6,0,0,unknown_control,0,116.561179,39.785297,"<Point><coordinates>116.561179,39.785297</coordinates></Point>"
,7,0,0,unknown_control,0,116.564782,39.786977,"<Point><coordinates>116.564782,39.786977</coordinates></Point>"
,8,0,0,unknown_control,0,116.564907,39.787037,"<Point><coordinates>116.564907,39.787037</coordinates></Point>"
,9,0,0,unknown_control,0,116.570759,39.790440,"<Point><coordinates>116.570759,39.790440</coordinates></Point>"
,10,0,0,unknown_control,0,116.564796,39.787161,"<Point><coordinates>116.564796,39.787161</coordinates></Point>"
,11,0,0,unknown_control,0,116.564678,39.787104,"<Point><coordinates>116.564678,39.787104</coordinates></Point>"
,12,0,0,unknown_control,0,116.561087,39.785402,"<Point><coordinates>116.561087,39.785402</coordinates></Point>"
,13,0,0,unknown_control,0,116.557551,39.783649,"<Point><coordinates>116.557551,39.783649</coordinates></Point>"
,14,0,0,unknown_control,0,116.557288,39.783526,"<Point><coordinates>116.557288,39.783526</coordinates></Point>"
,15,0,0,unknown_control,0,116.565166,39.791538,"<Point><coordinates>116.565166,39.791538</coordinates></Point>"
,16,0,0,unknown_control,0,116.555727,39.791235,"<Point><coordinates>116.555727,39.791235</coordinates></Point>"
,17,0,0,unknown_control,0,116.559392,39.793030,"<Point><coordinates>116.559392,39.793030</coordinates></Point>"
,18,0,0,unknown_control,0,116.559262,39.792966,"<Point><coordinates>116.559262,39.792966</coordinates></Point>"
,19,0,0,unknown_control,0,116.552143,39.789519,"<Point><coordinates>116.552143,39.789519</coordinates></Point>"
,20,0,0,unknown_control,0,116.551908,39.789392,"<Point><coordinates>116.551908,39.789392</coordinates></Point>"
,21,0,0,unknown_control,0,116.548441,39.787723,"<Point><coordinates>116.548441,39.787723</coordinates></Point>"
,22,0,0,unknown_control,0,116.545525,39.786335,"<Point><coordinates>116.545525,39.786335</coordinates></Point>"
,23,0,0,unknown_control,0,116.545383,39.786266,"<Point><coordinates>116.545383,39.786266</coordinates></Point>"
,24,0,0,unknown_control,0,116.540113,39.783699,"<Point><coordinates>116.540113,39.783699</coordinates></Point>"
,25,0,0,unknown_control,0,116.539931,39.783597,"<Point><coordinates>116.539931,39.783597</coordinates></Point>"
,26,0,0,unknown_control,0,116.562121,39.790037,"<Point><coordinates>116.562121,39.790037</coordinates></Point>"
,27,0,0,unknown_control,0,116.559494,39.792906,"<Point><coordinates>116.559494,39.792906</coordinates></Point>"
,28,0,0,unknown_control,0,116.556712,39.795917,"<Point><coordinates>116.556712,39.795917</coordinates></Point>"
,29,0,0,unknown_control,0,116.554105,39.798812,"<Point><coordinates>116.554105,39.798812</coordinates></Point>"
